Modelo_ID,AB2,Resistividad_Aparente
S1-BMEBSA,10.0,331.5892636150781
S1-BMEBSA,12.0,422.818088827739
S1-BMEBSA,15.0,568.2043922836741
S1-BMEBSA,18.0,510.8010852375654
S1-BMEBSA,20.0,718.0430802442959
S1-BMEBSA,23.0,695.8512713180385
S1-BMEBSA,28.0,792.934355856992
S1-BMEBSA,30.0,975.007248396517
S1-BMEBSA,33.0,1092.2050517324324
S1-BMEBSA,38.0,891.8183224660373
S1-BMEBSA,40.0,1023.0091441606118
S1-BMEBSA,43.0,1209.7544174749426
S1-BMEBSA,48.0,1349.8347846352071
S1-BMEBSA,50.0,1135.6939063545974
S1-BMEBSA,54.0,1181.8387533076234
S1-BMEBSA,58.0,1406.0062588823414
S1-BMEBSA,60.0,1266.883506537595
S1-BMEBSA,64.0,1444.9996215713618
S1-BMEBSA,68.0,1729.366273076981
S1-BMEBSA,70.0,1596.9865831978702
S1-BMEBSA,75.0,1667.1859868086558
S1-BMEBSA,80.0,1284.045959766445
S1-BMEBSA,85.0,1708.9507059322484
S1-BMEBSA,90.0,1822.382018163553
S2-BMEBSA,1.0,2.0691476821760535
S2-BMEBSA,2.0,2.1671133349116585
S2-BMEBSA,4.0,2.5558857543879046
S2-BMEBSA,5.0,2.4732676916435374
S2-BMEBSA,7.0,3.7868300174354235
S2-BMEBSA,8.0,3.408991891253111
S2-BMEBSA,10.0,4.852226538618633
S2-BMEBSA,12.0,6.276438545420976
S2-BMEBSA,15.0,8.647838707661922
S2-BMEBSA,18.0,7.972569858096107
S2-BMEBSA,20.0,11.39258909646753
S2-BMEBSA,23.0,11.307831184411322
S2-BMEBSA,30.0,14.333327909805627
S2-BMEBSA,30.0,16.70514158213263
S2-BMEBSA,33.0,19.121408300808987
S2-BMEBSA,38.0,16.164592313231722
S2-BMEBSA,40.0,18.794030706640363
S2-BMEBSA,43.0,22.6694006922588
S2-BMEBSA,48.0,26.117036236719652
S2-BMEBSA,50.0,22.24957018859769
S2-BMEBSA,54.0,23.72594273610357
S2-BMEBSA,58.0,28.904738771289445
S2-BMEBSA,60.0,26.349626319423816
S2-BMEBSA,64.0,30.748463373958298
S2-BMEBSA,68.0,37.628291519788306
S2-BMEBSA,70.0,35.12989068434871
S2-BMEBSA,75.0,37.669164230522725
S2-BMEBSA,80.0,29.77685606228995
S2-BMEBSA,85.0,40.64568566152623
S2-BMEBSA,90.0,44.42419003851962
S1-MFA-VER,1.0,81.21202662565497
S1-MFA-VER,2.0,82.86616152152374
S1-MFA-VER,4.0,84.12320859966971
S1-MFA-VER,5.0,72.89474507047105
S1-MFA-VER,7.0,87.9536084840085
S1-MFA-VER,8.0,70.58062225049878
S1-MFA-VER,10.0,81.41616418263547
S1-MFA-VER,12.0,87.63858319054928
S1-MFA-VER,15.0,95.35246728601177
S1-MFA-VER,18.0,71.76204046399366
S1-MFA-VER,20.0,90.72387332451349
S1-MFA-VER,24.0,75.09459985669302
S1-MFA-VER,28.0,69.49932515003921
S1-MFA-VER,30.0,78.74691865630436
S1-MFA-VER,34.0,77.21381887850023
S1-MFA-VER,38.0,53.24357831702956
S1-MFA-VER,40.0,56.935563507640005
S1-MFA-VER,44.0,59.81510677591219
S1-MFA-VER,48.0,57.859834060071385
S1-MFA-VER,50.0,45.83032013608815
S1-MFA-VER,55.0,41.883540305446985
S1-MFA-VER,60.0,44.23250191415553
S1-MFA-VER,65.0,36.544769566647275
S1-MFA-VER,70.0,37.83839589801703
S1-MFA-VER,75.0,41.63455090516337
S1-MFA-VER,80.0,36.3947155429515
S1-MFA-VER,85.0,35.468321552757054
S1-MFA-VER,90.0,25.818025999611166
S1-MFA-VER,95.0,32.83643337844935
S1-MFA-VER,100.0,33.78799354929519
S2-MFA-VER,1.0,19.80713030345001
S2-MFA-VER,2.0,17.347969983666765
S2-MFA-VER,4.0,9.871883198286067
S2-MFA-VER,5.0,6.174978884800572
S2-MFA-VER,7.0,4.2491159169720385
S2-MFA-VER,8.0,2.781293410557409
S2-MFA-VER,10.0,2.503094569373525
S2-MFA-VER,12.0,2.450613933009389
S2-MFA-VER,15.0,2.661103098455354
S2-MFA-VER,18.0,2.1415714510487223
S2-MFA-VER,20.0,2.8797350552517504
